userid,fcnname,actionid,actiontype,time,input,output,quizq,actualoutput,result,finalguess,
"0","IsDag","0","eval_input","2020-04-03 14:59:28","inst myInst {
  Node = none
  edges = none
  }","true","","","","",""
"0","IsDag","1","eval_input","2020-04-03 14:59:33","inst myInst {
  Node = A
  edges = none
  }","true","","","","",""
"0","IsDag","2","eval_input","2020-04-03 14:59:39","inst myInst {
  Node = A + B
  edges = none
  }","true","","","","",""
"0","IsDag","3","eval_input","2020-04-03 14:59:46","inst myInst {
  Node = A + B + C
  edges = none
  }","true","","","","",""
"0","IsDag","4","eval_input","2020-04-03 14:59:58","inst myInst {
  Node = A + B + C
  edges = A->A
  }","false","","","","",""
"0","IsDag","5","eval_input","2020-04-03 15:00:03","inst myInst {
  Node = A + B + C
  edges = A->B
  }","true","","","","",""
"0","IsDag","6","eval_input","2020-04-03 15:00:10","inst myInst {
  Node = A + B + C
  edges = A->B + B->A
  }","false","","","","",""
"0","IsDag","7","eval_input","2020-04-03 15:00:14","inst myInst {
  Node = A + B + C
  edges = A->B + B->C
  }","true","","","","",""
"0","IsDag","8","eval_input","2020-04-03 15:00:20","inst myInst {
  Node = A + B + C
  edges = A->B + B->C + C->A
  }","false","","","","",""
"0","IsDag","9","eval_input","2020-04-03 15:00:34","inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C + B->A
  }","false","","","","",""
"0","IsDag","10","eval_input","2020-04-03 15:01:05","inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C + C->D + A->D
  }","true","","","","",""
"0","IsDag","11","eval_input","2020-04-03 15:01:12","inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C + C->D + A->D + B->D
  }","true","","","","",""
"0","IsDag","12","eval_input","2020-04-03 15:01:20","inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C + C->D + A->D + B->D + A->C
  }","true","","","","",""
"0","IsDag","13","eval_input","2020-04-03 15:01:26","inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C + C->D + A->D + B->D + A->C + C->C
  }","false","","","","",""
"0","IsDag","14","quiz_answer","2020-04-03 15:01:54","inst myInst {
      Node = A 
      edges = A->A
    }","false","0","false","true","",""
"0","IsDag","15","quiz_answer","2020-04-03 15:01:58","inst myInst {
      Node = A
      edges = none
    }","true","1","true","true","",""
"0","IsDag","16","quiz_answer","2020-04-03 15:02:02","inst myInst {
      Node = A + B
      edges = A->B + B->A
    }","false","2","false","true","",""
"0","IsDag","17","quiz_answer","2020-04-03 15:02:09","inst myInst {
      Node = A + B + C
      edges = A->B + A->C + B->C
    }","true","3","true","true","",""
"0","IsDag","18","quiz_answer","2020-04-03 15:02:14","inst myInst {
      Node = A + B + C
      edges = A->B + B->C + C->A
    }","false","4","false","true","",""
"0","IsDag","19","quiz_answer","2020-04-03 15:02:23","inst myInst {
      Node = A + B + C
      edges = A->B + C->B
    }","true","5","true","true","",""
"0","IsDag","20","quiz_answer","2020-04-03 15:02:27","inst myInst {
      Node = A + B + C + D
      edges = A->B + B->C + C->D + D->A
    }","false","6","false","true","",""
"0","IsDag","21","quiz_answer","2020-04-03 15:02:33","inst myInst {
      Node = A + B + C + D + E
      edges = A->B + B->C + C->D + D->E + E->A
    }","false","7","false","true","",""
"0","IsDag","22","final_answer","2020-04-03 15:02:35","","","","","","The predicate checks whether the given graph is acyclic.",""
"0","ThreeCycle","23","eval_input","2020-04-03 15:03:06","inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C + C->D + A->D + B->D + A->C + C->C
  }","false","","","","",""
"0","ThreeCycle","24","eval_input","2020-04-03 15:04:33","inst myInst {
  Node = A
  edges = A->A
}","false","","","","",""
"0","ThreeCycle","25","eval_input","2020-04-03 15:05:35","inst myInst {
  Node = A
  edges = none
}","false","","","","",""
"0","ThreeCycle","26","eval_input","2020-04-03 15:05:48","inst myInst {
  Node = none
  edges = none
}","false","","","","",""
"0","ThreeCycle","27","eval_input","2020-04-03 15:05:53","inst myInst {
  Node = A
  edges = none
}","false","","","","",""
"0","ThreeCycle","28","eval_input","2020-04-03 15:06:01","inst myInst {
  Node = A
  edges = A->A
}","false","","","","",""
"0","ThreeCycle","29","eval_input","2020-04-03 15:06:08","inst myInst {
  Node = A + B
  edges = none
}","false","","","","",""
"0","ThreeCycle","30","eval_input","2020-04-03 15:06:13","inst myInst {
  Node = A + B
  edges = A->B
}","false","","","","",""
"0","ThreeCycle","31","eval_input","2020-04-03 15:06:21","inst myInst {
  Node = A + B
  edges = A->B + B->A
}","false","","","","",""
"0","ThreeCycle","32","eval_input","2020-04-03 15:06:31","inst myInst {
  Node = A + B
  edges = A->A + B->B
}","false","","","","",""
"0","ThreeCycle","33","eval_input","2020-04-03 15:06:37","inst myInst {
  Node = A + B
  edges = A->A + B->B + A->B + B->A
}","false","","","","",""
"0","ThreeCycle","34","eval_input","2020-04-03 15:06:51","inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C + C->D + D->A
}","false","","","","",""
"0","ThreeCycle","35","eval_input","2020-04-03 15:07:00","inst myInst {
  Node = A + B + C + D
  edges = A->C
}","false","","","","",""
"0","ThreeCycle","36","eval_input","2020-04-03 15:07:26","inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C + C->A + B->A + C->B + D->C
}","true","","","","",""
"0","ThreeCycle","37","eval_input","2020-04-03 15:07:39","inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C + C->A + B->A + C->B
}","true","","","","",""
"0","ThreeCycle","38","eval_input","2020-04-03 15:08:16","inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C + C->A + B->A
}","true","","","","",""
"0","ThreeCycle","39","eval_input","2020-04-03 15:08:21","inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C + C->A
}","true","","","","",""
"0","ThreeCycle","40","eval_input","2020-04-03 15:08:25","inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C
}","false","","","","",""
"0","ThreeCycle","41","eval_input","2020-04-03 15:08:31","inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C + C->B
}","false","","","","",""
"0","ThreeCycle","42","eval_input","2020-04-03 15:08:42","inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C + C->D + D->B
}","true","","","","",""
"0","ThreeCycle","43","eval_input","2020-04-03 15:08:48","inst myInst {
  Node = A + B + C
  edges = A->B + B->C + C->A
}","true","","","","",""
"0","ThreeCycle","44","eval_input","2020-04-03 15:09:00","inst myInst {
  Node = A + B + C
  edges = A->B + B->C + C->A + C->C
}","true","","","","",""
"0","ThreeCycle","45","eval_input","2020-04-03 15:09:15","inst myInst {
  Node = A + B + C
  edges = A->B + B->C + C->C + C->A
}","true","","","","",""
"0","ThreeCycle","46","eval_input","2020-04-03 15:09:28","inst myInst {
  Node = A + B + C + D + E + F
  edges = A->B + B->C + C->A + D->E + E->F + F->D
}","true","","","","",""
"0","ThreeCycle","47","eval_input","2020-04-03 15:09:32","inst myInst {
  Node = A + B + C + D + E + F
  edges = A->B + B->C + E->F + F->D
}","false","","","","",""
"0","ThreeCycle","48","eval_input","2020-04-03 15:09:46","inst myInst {
  Node = A + B + C + D + E + F
  edges = A->B + B->C + C->D + D->A
}","false","","","","",""
"0","ThreeCycle","49","eval_input","2020-04-03 15:09:51","inst myInst {
  Node = A + B + C + D + E + F
  edges = A->B + B->C + C->D + D->E + E->A
}","false","","","","",""
"0","ThreeCycle","50","eval_input","2020-04-03 15:09:56","inst myInst {
  Node = A + B + C + D + E + F
  edges = A->B + B->C + C->D + D->E + E->F + F->A
}","false","","","","",""
"0","ThreeCycle","51","eval_input","2020-04-03 15:09:57","inst myInst {
  Node = A + B + C + D + E + F
  edges = A->B + B->C + C->D + D->E + E->F + F->A
}","false","","","","",""
"0","ThreeCycle","52","eval_input","2020-04-03 15:10:03","inst myInst {
  Node = A + B + C + D + E + F
  edges = A->B + B->C + C->D + D->E + E->F + F->A + F->D
}","true","","","","",""
"0","IsDag","0","eval_input","2020-04-03 19:32:28","inst myInst {
  Node = A
  edges = A->A
  }","false","","","","",""
"0","IsDag","1","eval_input","2020-04-03 19:32:33","inst myInst {
  Node = A + B
  edges = A->B
  }","true","","","","",""
"0","IsDag","2","quiz_answer","2020-04-03 19:32:47","inst myInst {
      Node = A 
      edges = A->A
    }","false","0","false","true","",""
"0","IsDag","3","quiz_answer","2020-04-03 19:32:51","inst myInst {
      Node = A
      edges = none
    }","true","1","true","true","",""
"0","IsDag","4","quiz_answer","2020-04-03 19:32:56","inst myInst {
      Node = A + B
      edges = A->B + B->A
    }","false","2","false","true","",""
"0","IsDag","5","quiz_answer","2020-04-03 19:33:02","inst myInst {
      Node = A + B + C
      edges = A->B + A->C + B->C
    }","true","3","true","true","",""
"0","IsDag","6","quiz_answer","2020-04-03 19:33:05","inst myInst {
      Node = A + B + C
      edges = A->B + B->C + C->A
    }","false","4","false","true","",""
"0","IsDag","7","quiz_answer","2020-04-03 19:33:09","inst myInst {
      Node = A + B + C
      edges = A->B + C->B
    }","true","5","true","true","",""
"0","IsDag","8","quiz_answer","2020-04-03 19:33:15","inst myInst {
      Node = A + B + C + D
      edges = A->B + B->C + C->D + D->A
    }","false","6","false","true","",""
"0","IsDag","9","quiz_answer","2020-04-03 19:33:19","inst myInst {
      Node = A + B + C + D + E
      edges = A->B + B->C + C->D + D->E + E->A
    }","false","7","false","true","",""
"0","IsDag","10","final_answer","2020-04-03 19:33:21","","","","","","is dag",""
"0","ThreeCycle","11","eval_input","2020-04-03 19:33:34","inst myInst {
  Node = A + B + C
  edges = A->B + B->C + C->A
  }","true","","","","",""
"0","ThreeCycle","12","eval_input","2020-04-03 19:33:37","inst myInst {
  Node = A + B + C
  edges = A->B + B->C + C->B
  }","false","","","","",""
"0","ThreeCycle","13","quiz_answer","2020-04-03 19:34:24","inst myInst {
      Node = A 
      edges = A->A
    }","false","0","false","true","",""
"0","ThreeCycle","14","quiz_answer","2020-04-03 19:34:26","inst myInst {
      Node = A
      edges = none
    }","false","1","false","true","",""
