"31","This function gets the median of the inputs. If it is an odd number of items, it will sort the list and get the median value. If it is an even number, it will sort the list, and get the average of the two median values.","NORM","M-AVG","SCOR",""
"76","Returns the average of all the numbers: sums them up, divides by length","NORM","M-AVG","SCOR",""
"58","Sum of inputs / number of inputs in array","NORM","M-AVG","SCOR",""
"20","It' s the median","NORM","M-AVG","SCOR",""
"23","Median","NORM","M-AVG","SCOR",""
"73","it gets the median, or the average of the two in the middle if there is an even number of elements","NORM","M-CALC","COR",""
"65","The median of the list of integers, sorted from smallest to largest.","NORM","M-MID","MCOR",""
"71","Finds the median (taking the arithmetic mean of the two median values for even datasets)","NORM","M-MID","MCOR",""
"18","Takes each non zero number and multiplies it by 1/cardinality of the number. Then it sums it.","NORM","M-WORD","COR",""
"33","Median of all the numbers in the list","NORM","M-WORD","COR",""
"54","returns the number in the middle of the list","NORM","M-WORD","COR",""
"78","j","NORM","M-WORD","COR",""
"69","Returns the median of the set (middle number if odd and sum of middle two numbers / 2 if even)","NORM","M-WORD","COR",""
"53","Finds the midpoint","NORM","M-WORD","COR",""
"85","If the number of elements is odd, the median element is returned. If the number of elements is even, the mean of the middle two elements is returned.","NORM","M-WORD","COR",""
"28","gives the median of the numbers","NORM","M-WORD","COR",""
"75","median of sorted list","NORM","M-WORD","COR",""
"59","If the number of numbers in the list is odd, then it is the median. If the number of numbers in the list is even, I'm not sure.","NORM","M-WORD","COR",""
"77","Evaluates the median","NORM","M-WORD","COR",""
"35","average","NORM","M-WORD","COR",""
"39","calculates the median of the input","NORM","M-WORD","COR",""
"37","The median","NORM","M-WORD","COR",""
"22","Outputs the median of the input list.","NORM","M-WORD","COR","IO"
"81","calculates median","NORM","M-WORD","COR",""
"57","With an odd number of elements in the list, it returns the median of the sorted list. With an even number of elements, it just returns the average of the two middle numbers.","NORM","M-WORD","COR",""
"72","median","NORM","M-WORD","COR",""
"56","Finds the median of the given list","NORM","M-WORD","COR",""
"86","calculates the median","NORM","M-WORD","COR",""
"19","median of the input integers","NORM","M-WORD M-CALC","COR",""
"40","takes the average","NORM","M-WORD M-CALC M-WRO","COR",""
"52","I think it returns the median of the list.  ex;f( [7, 8, -9, 2, 6, 10, 5] ) = 6","NORM","M-WORD M-CALC M-WRO","COR",""
"61","It will find median","NORM","M-WORD M-CALC M-WRO","COR",""
"55","It does something related to the average of the whole thing, I can't figure it out :/","NORM","M-WORD M-CALC M-WRO","COR",""
"83","The median of the input.","NORM","","XCOR",""
"41","Returns the median","NONS","","",""
"51","sum of all elements divided by 2","NORM","M-WORD M-WRO","MCOR","UNS"
"80","It takes the median of the numbers in the list - if the list is even, then it takes the average of the two middle-most numbers in the list.","NORM","M-WORD M-CALC M-WRO","COR",""
"16","This function returns the median of the input list.","NORM","M-AVG","SCOR","UNS"
"5","if [A,B]-> (A+B)/2 if [A,B,C] -> B","NORM","","SCOR",""
"3","Returns the median of the given list of integers","NORM","M-WORD M-CALC","COR",""
"6","if the list length is even take the median, if the list length is odd take the average of the two median","NORM","","",""
"15","pairs of two coordinates represent bounds. function returns midpoint of bounds if length of array is even. if its odd it returns the upper or lower bound depending if the last element is above or below the bounds, respectively","NORM","","SCOR","NIN"
"9","calculates median","NORM","M-WORD","COR",""
"8","median","NORM","M-WORD M-CALC M-WRO","COR",""
"7","Average of the list input.","NORM","M-MID","SCOR",""
"1","If the number of elements in the list is odd, it returns the median value.  If the number of elements is even, it returns the average of the two median values.  (either way, it returns the average of the median value(s))","NORM","M-WORD M-CALC M-WRO","COR",""
